date,defect_count,deployment_type,team
2026-03-01,4,Major,Alpha
2026-03-02,5,Minor,Beta
2026-03-03,3,Patch,Gamma
2026-03-04,6,Major,Alpha
2026-03-05,4,Minor,Beta
2026-03-06,5,Patch,Gamma
2026-03-07,3,Major,Alpha
2026-03-08,4,Minor,Beta
2026-03-09,6,Patch,Gamma
2026-03-10,5,Major,Alpha
2026-03-11,3,Minor,Beta
2026-03-12,4,Patch,Gamma
2026-03-13,5,Major,Alpha
2026-03-14,4,Minor,Beta
2026-03-15,7,Patch,Gamma
2026-03-16,8,Major,Alpha
2026-03-17,6,Minor,Beta
2026-03-18,7,Patch,Gamma
2026-03-19,8,Major,Alpha
2026-03-20,7,Minor,Beta
2026-03-21,6,Patch,Gamma
2026-03-22,4,Major,Alpha
2026-03-23,5,Minor,Beta
2026-03-24,3,Patch,Gamma
2026-03-25,4,Major,Alpha
