Rank,VC_Name,Fund_Size_M,Series_A_Check_M,Focus_Areas,Portfolio_Companies,Founded_Year,HQ,Website,Partner_Contact,Interest_Signals,Warm_Intro_Path,Priority,Notes
1,Bessemer Venture Partners,$650,$1_2M,Cloud infrastructure;Enterprise software;SaaS,Slack;Canva;Figma,1997,San Francisco,www.bvp.com,Robert Vijayakumar,Strong SaaS focus,Customer introduction,TIER_1_LEAD,Top-tier VC firm; known for deep sector expertise in logistics tech
2,Insight Partners,$20000,$1_3M,Enterprise SaaS;Platform companies;Growth,Zendesk;Shopify partner,1995,Boston,www.insightpartners.com,Jerry Murdock,Large fund size,Adviser network,TIER_1_LEAD,"Largest SaaS investor globally; excellent for scaling"
3,Accel Partners,$850,$1_2M,Enterprise software;SaaS scaling;B2B,Qualtrics;Okta;Slack,1983,San Francisco,www.accel.com,Marc Andreessen referral,Growth-stage SaaS,Supply chain vertical expert,TIER_1_LEAD,Consistent Series A investor in logistics/supply chain
4,Sequoia Capital,$6000,$1_5M,Market-defining companies;Enterprise,Stripe;Figma;Instacart,1972,Menlo Park,www.sequoia.com,[Founder referral],Founder-friendly,Customer + adviser intro,TIER_1_LEAD,Most selective but highest value; requires exceptional positioning
5,Sapphire Ventures,$9500,$1_2M,Cloud infrastructure;B2B SaaS;Growth,Okta;Atlassian;SentinelOne,2007,San Francisco,www.sapphirevc.com,[Industry specialist],Enterprise focus,Supply chain portfolio,TIER_1_LEAD,Strong logistics/supply chain background in team
6,Meritech Capital,$3500,$1_1.5M,Enterprise software;SaaS scaling,Zendesk;Qualtrics;ServiceTitan,1998,Palo Alto,www.meritech.com,[Lead partner],Unit economics focus,Founder network,TIER_1_LEAD,Specifically looks for proven unit economics
7,Baseline Ventures,$500,$750K,Infrastructure;Enterprise SaaS;Community,Figma;Slack;Notion,2002,San Francisco,www.baselineventures.com,Partners,SaaS expertise,Industry referral,TIER_2,Good second lead investor option
8,Craft Ventures,$600,$750K_1M,Platform companies;Enterprise;Infrastructure,Loom;Zapier;Cloudflare,2010,San Francisco,www.craftventures.com,Daniel Ek,Platform focus,Founder intro,TIER_2,Strong in supply chain adjacencies
9,Storm Ventures,$175,$500K_750K,Enterprise software;Cloud infrastructure,Sugarcrm,2001,Menlo Park,www.stormventures.com,Mike Speiser,Enterprise focus,Adviser intro,TIER_2,Strong logistics sector knowledge
10,Scale Venture Partners,$620,$500K_1M,Growth-stage SaaS;Cloud,LaunchDarkly;Kong,2013,San Francisco,www.scaleventures.com,Sameer Dhanrajani,SaaS scaling,Portfolio company intro,TIER_2,Excellent for scaling from traction
11,TechOperations Ventures,$200,$250K_500K,Supply chain technology;Logistics,Supply chain startups,2015,Austin,www.techopsventures.com,[Partner],Supply chain focus,Industry referral,TIER_2_STRATEGIC,Specialty fund in exact vertical
12,Greenfield Partners,$150,$250K_500K,Logistics technology;Sustainability,Everstream;Resilinc,2010,San Francisco,www.greenfield.com,[Partner],Logistics focus,Supply chain network,TIER_2_STRATEGIC,Dedicated logistics sector investor
13,Initialized Capital,$200,$500K_1M,SaaS infrastructure;Developer tools,Figma;Stripe,2012,San Francisco,www.initialized.com,[Partner],Infrastructure focus,Technical founder intro,TIER_2,Strong in B2B SaaS
14,Greycroft,$430,$250K_500K,Tech entrepreneurship;Diverse founders,Venmo;Art Blocks,2010,New York,www.greycroftpartners.com,Ian Shayne,Founder-friendly,Founder network,TIER_2,Investor-friendly terms; good for first close
15,First Round Capital,$360,$250K_500K,B2B SaaS;Enterprise,Optimizely;Guidepoint,2004,Philadelphia,www.firstround.com,[Partner],Founder network,Customer intro,TIER_2,Extremely founder-friendly reputation
16,Sand Hill Angels,$1000,$100K_500K,Enterprise SaaS;Infrastructure,Multiple,2005,San Francisco,www.sandhillangels.com,[Organizer],Angel group,Adviser network,TIER_3_ANGELS,Large organized angel group
17,Silicon Valley Angels,$1000,$100K_500K,Supply chain tech;Enterprise,Multiple,2005,San Francisco,www.svangels.com,[Organizer],Supply chain focus,Industry referral,TIER_3_ANGELS,Industry-specific angel group
18,TechCrunch Disrupt Angels,$500,$50K_250K,Tech startups;Diverse sectors,Various,2007,San Francisco,www.techcrunch.com,[Network],Network effect,Event networking,TIER_3_ANGELS,Annual conference networking opportunity
19,Backstage Capital,$100,$25K_250K,Diverse founders;Tech,Various,2015,Chicago,www.backstagecapital.com,Arlan Hamilton,Founder-friendly,Founder community,TIER_3_ANGELS,Excellent for diverse founder support
20,Lerer Hippeau,$400,$100K_500K,B2B SaaS;Enterprise,Multiple,2007,New York,www.lererhippeau.com,[Partner],Northeast focus,NY network,TIER_2,Strong East Coast presence
21,Prologis Ventures,$500,$250K_1M,Logistics real estate;Tech,Real estate tech startups,2015,San Francisco,www.prologis.com,[VC head],Logistics industry,Corporate intro,TIER_2_STRATEGIC,Corporate VC arm of major logistics company
22,XPO Logistics Ventures,$750,$250K_1M,Logistics technology;Supply chain,Logistics startups,2020,Greenwich CT,www.xpo.com,[Innovation head],Logistics focus,Industry referral,TIER_2_STRATEGIC,Corporate VC of major 3PL company
23,J.B. Hunt Corporate Ventures,$500,$250K_1M,Logistics innovation;Transportation,Logistics startups,2018,Lowell AR,www.jbhunt.com,[VC head],Transportation focus,Industry referral,TIER_2_STRATEGIC,Corporate venture arm of major carrier
24,Amazon Alexa Fund,$100,$50K_250K,IoT;Logistics automation,Multiple,2016,Seattle,www.amazon.com,[Fund manager],IoT + logistics,AWS relationship,TIER_3_STRATEGIC,Amazon's strategic investment arm
25,Retech Ventures,$150,$100K_300K,Supply chain tech;Sustainability,Supply chain startups,2019,San Francisco,www.retechventures.com,[Partner],Supply chain focus,Industry referral,TIER_2,Emerging supply chain-focused fund
26,Plug & Play,$600,$50K_500K,Supply chain;Logistics;Enterprise,Multiple,2006,Sunnyvale,www.plugandplaytech.com,[Supply chain head],Acceleration program,Program application,TIER_2,Accelerator with strong supply chain focus
27,Y Combinator,$1500,$50K_150K,Early-stage companies;All sectors,Stripe;Airbnb;Dropbox,2005,San Francisco,www.ycombinator.com,[Partners],Growth-stage companies,Application,SPECIAL,Series A readiness; good brand validator
28,Techstars,$400,$25K_100K,Early-stage companies;Supply chain,Multiple,2006,Worldwide,www.techstars.com,[Supply chain curator],Mentorship + capital,Program + follow-on,SPECIAL,Strong for supply chain accelerator
29,Khosla Ventures,$1200,$500K_2M,Deep tech;Climate tech;Enterprise,Various,2004,Menlo Park,www.khoslaventures.com,[Partner],Infrastructure,Environmental angle,TIER_1,For climate sustainability angle in supply chain
30,Andreessen Horowitz,$10000,$1_3M,Enterprise SaaS;Platform,Figma;Slack;Okta,1985,San Francisco,www.a16z.com,[Partner],Enterprise focus,Portfolio company intro,TIER_1,Massive fund; selective but highest credibility
31,Greylock Partners,$2500,$1_2M,Enterprise SaaS;Founder-backed,Figma;Airbnb;Okta,1986,Menlo Park,www.greylock.com,[Partner],Enterprise SaaS,Founder network,TIER_1,Highly selective; excellent for series A
32,Lightspeed Venture Partners,$1500,$500K_1.5M,Enterprise SaaS;Growth,Slack;Figma;Guidepoint,1997,Menlo Park,www.lightspeedvp.com,[Partner],SaaS growth,Supply chain vertical,TIER_1,Strong in logistics/supply chain
33,Khosla Impact,$700,$250K_1M,Supply chain sustainability;ESG,Sustainable logistics startups,2019,San Francisco,www.khoslaimpact.com,[Partner],Supply chain + sustainability,ESG angle,TIER_2,Great if positioning as sustainable logistics solution
34,Impact Ventures,$500,$100K_500K,Supply chain; Sustainability; Social impact,Various,2015,San Francisco,www.impactventures.com,[Partner],Supply chain focus,ESG positioning,TIER_2,Impact-focused investor aligned with ESG
35,Lowercarbon Capital,$400,$100K_500K,Climate tech;Supply chain;Sustainability,Various,2020,San Francisco,www.lowercarbon.com,[Partner],Climate + supply chain,ESG angle,TIER_2,For sustainability positioning
36,Five Elms Capital,$250,$100K_300K,B2B SaaS;Enterprise,Various,2019,Chicago,www.fiveelms.com,[Partner],Enterprise B2B,Midwest focus,TIER_2,Midwest-based SaaS investor
37,Triangle Peak Partners,$300,$100K_500K,B2B SaaS;Enterprise,Various,2018,Silicon Valley,www.trianglepeakpartners.com,[Partner],Enterprise SaaS,Technical focus,TIER_2,Strong technical due diligence
38,Boldstart Ventures,$200,$100K_500K,Enterprise tech;B2B SaaS,Various,2013,Amsterdam/SF,www.boldstart.vc,[Partner],European + US focus,International angle,TIER_2,Good for European expansion story
39,Accomplice,$300,$50K_250K,B2B SaaS;Tech,Various,2010,Boston,www.accomplice.co,[Partner],Northeast focus,East Coast network,TIER_2,Boston-based; good second close
40,Locus Ventures,$400,$100K_500K,Supply chain; Logistics; Infrastructure,Logistics startups,2015,San Francisco,www.locusventures.com,[Partner],Supply chain focus,Direct vertical match,TIER_2,Perfect vertical focus match
41,Everywhere Ventures,$100,$50K_250K,Supply chain; Circular economy; Tech,Sustainable logistics,2018,Worldwide,www.everywhereventures.com,[Partner],Supply chain + sustainability,ESG angle,TIER_3_STRATEGIC,Circular economy angle
42,Drive Capital,$250,$100K_500K,B2B SaaS; Logistics,Various,2015,Columbus,www.drivecapital.com,[Partner],B2B SaaS,Ohio-based,TIER_2,Midwest-focused fund
43,Gradient Ventures,$350,$100K_500K,B2B SaaS;AI-enabled,Google's AI fund,2017,Mountain View,www.gradient.google,[Partner],AI/ML focus,Technical AI angle,TIER_2,Good if emphasizing AI/ML aspects
44,YVentures,$300,$100K_500K,B2B SaaS;Enterprise,Multiple,2015,San Francisco,www.yventures.com,[Partner],Enterprise focus,Portfolio network,TIER_2,Strong in B2B SaaS space
45,Venrock,$1800,$500K_1.5M,Enterprise SaaS;Deep tech,Multiple,1976,San Francisco,www.venrock.com,[Partner],Enterprise focus,Network intro,TIER_1,Historically strong in enterprise
46,Intel Capital,$500,$100K_1M,Tech infrastructure,Portfolio companies,2001,Santa Clara,www.intelcapital.com,[Manager],Hardware partners,Intel relationship,TIER_2,Good if AWS/infrastructure angle
47,New Enterprise Associates,$2600,$1_2M,Enterprise software;SaaS,Multiple major,1978,Menlo Park,www.nea.com,[Partner],Enterprise focus,Portfolio intro,TIER_1,Tier-1 VC firm; selective
48,GGV Capital,$5000,$500K_2M,Enterprise SaaS;Global reach,Multiple,2000,San Francisco,www.ggvc.com,[Partner],Enterprise focus,Global reach,TIER_1,Asia-focused but strong in US SaaS
